Station Number,Station Name,January,February,March,April,May,June,July,August,September,October,November,December
0,Recto,303710,394569,522389,456581,585934,632659,670385,754339,777010,833220,840502,859598
1,Legarda,29863,43030,63067,56416,75937,94340,110273,169473,209537,232446,238928,194007
2,Pureza,52737,70333,97904,86141,110012,122089,128266,141580,142436,164362,166278,161861
3,VMapa,55575,70433,97453,86744,116745,128827,142207,157550,167118,188539,189028,195382
4,JRuiz,19359,25001,35804,31813,40482,45455,48664,53700,56430,60022,63696,62399
5,Gilmore,48134,60186,81890,72129,90059,102379,108284,114450,113185,113390,111323,111506
6,BettyGo,15910,20897,29033,25269,31209,33915,36159,41616,44322,46608,48385,48131
7,Araneta,158348,208327,296871,282522,389290,440958,449500,482760,506143,559924,566396,599360
8,Anonas,47154,63690,92364,83903,115228,135370,144228,161354,179083,201655,202102,197274
9,Katipunan,76052,100981,138328,122393,159202,179289,191560,219835,234865,254965,256808,255769
10,Santolan,45341,58450,77770,70414,91046,100326,105341,115177,116711,131715,135266,147433
11,Marikina,84009,114691,164599,152979,204999,241172,260938,298860,323161,364404,377393,398287
12,Antipolo,144609,189332,264634,244606,335813,373767,396226,429017,447675,502843,523851,572293
