Station Number,Station Name,January,February,March,April,May,June,July,August,September,October,November,December
0,Recto,316035,402839,528711,462541,583597,634853,668781,751125,774001,834590,846413,877291
1,Legarda,32772,46435,68185,61362,80437,101210,117421,177125,210099,227274,241502,197527
2,Pureza,49181,64626,87751,78943,102664,116273,123032,136595,139299,162121,161228,148767
3,VMapa,53296,67123,91563,81989,112137,125560,140613,154647,164611,184389,186678,191135
4,JRuiz,17694,22432,32170,28948,37445,42843,46832,51746,54696,58842,61984,58533
5,Gilmore,51585,65478,87070,77675,97259,112451,116939,125850,122397,124281,124836,123972
6,BettyGo,15129,20493,28611,25666,31339,35519,37012,42267,44919,47330,48445,48242
7,Araneta,193822,257549,364968,350989,482185,548385,565755,619381,646978,719884,732368,791998
8,Anonas,47943,62854,92642,86261,116479,138183,147120,166608,184235,209141,213648,207338
9,Katipunan,44747,60896,83777,75186,109897,110704,119221,139648,153760,172295,174302,170528
10,Santolan,45261,58222,77765,68831,89521,98060,103655,113445,115391,127955,131760,141002
11,Marikina,84506,115090,163369,150208,201593,234236,256537,293292,318505,353571,359977,370696
12,Antipolo,124763,169621,234338,214525,292411,322548,336053,357281,373424,418795,424114,459132
